transaction_id,amount,hour,country_risk_score,device_age_days,account_age_days,failed_logins_24h,transactions_1h,velocity_24h,is_new_device,is_cross_border,merchant_risk_score,fraud_label
TXN-000045,112.84,18,0.48,121,593,1,3,2,0,0,0.328,0
TXN-000046,34.58,16,0.083,62,65,1,2,6,0,0,0.508,1
TXN-000047,39.19,14,0.224,1172,3069,1,3,4,0,0,0.533,0
TXN-000048,77.46,11,0.168,889,3055,1,1,8,0,0,0.387,0
TXN-000049,348.92,18,0.129,325,3821,1,3,10,0,0,0.643,0
TXN-000050,21.97,8,0.438,25,2919,1,2,8,1,0,0.237,0
TXN-000051,19.0,3,0.177,426,2920,0,2,11,0,0,0.533,0
TXN-000052,28.6,9,0.617,63,599,0,1,4,0,0,0.257,0
TXN-000053,46.85,12,0.409,599,2980,0,1,9,0,0,0.357,0
TXN-000054,25.04,11,0.118,65,109,1,2,7,0,1,0.113,0
TXN-000055,70.72,0,0.109,1126,1203,0,2,8,1,1,0.413,0
TXN-000056,112.71,4,0.305,72,3733,1,2,8,1,0,0.508,0
TXN-000057,16.02,1,0.213,835,2736,2,2,9,0,1,0.479,0
TXN-000058,260.57,0,0.287,290,3267,1,2,7,0,1,0.4,0
TXN-000059,13.02,2,0.224,118,1913,0,3,5,0,0,0.039,0
TXN-000060,74.48,15,0.334,361,2194,0,1,3,0,0,0.125,0
TXN-000061,59.5,15,0.051,838,1776,0,4,5,0,0,0.457,0
TXN-000062,325.06,23,0.196,480,756,2,2,6,0,0,0.124,0
TXN-000063,27.76,21,0.598,1338,36,0,0,6,1,0,0.127,0
TXN-000064,50.92,18,0.062,1085,288,0,1,7,0,0,0.05,0
TXN-000065,79.93,12,0.433,732,292,0,2,9,0,0,0.227,0
TXN-000066,113.88,22,0.497,289,2790,1,3,10,0,0,0.241,0
TXN-000067,39.21,16,0.167,379,903,0,1,4,0,0,0.297,0
TXN-000068,281.44,0,0.193,81,1848,0,1,7,0,0,0.54,0
TXN-000069,14.8,23,0.773,149,1035,0,1,8,0,0,0.386,0
TXN-000070,19.26,16,0.207,1001,1467,2,0,8,0,1,0.42,0
TXN-000071,48.77,14,0.261,38,3195,0,1,10,0,0,0.621,0
TXN-000072,19.44,4,0.496,1378,1633,1,1,8,0,0,0.706,0
TXN-000073,10.15,2,0.204,507,3573,0,1,11,0,0,0.291,0
TXN-000074,178.13,10,0.213,940,2955,1,1,7,0,0,0.061,0
TXN-000075,105.79,10,0.399,159,2081,1,0,9,0,0,0.429,0
TXN-000076,4.75,0,0.644,1441,2441,1,1,5,0,1,0.428,0
TXN-000077,109.13,22,0.269,53,857,2,3,9,0,1,0.581,0
TXN-000078,133.25,12,0.095,1415,1822,1,5,7,0,1,0.414,0
TXN-000079,14.2,15,0.213,824,3469,1,2,4,0,0,0.45,0
TXN-000080,147.34,4,0.602,1153,752,3,3,7,0,0,0.612,0
TXN-000081,9.32,6,0.397,320,2042,0,1,7,0,0,0.375,0
TXN-000082,24.68,18,0.335,178,3141,1,0,14,0,0,0.462,0
TXN-000083,34.38,4,0.15,858,2940,1,1,11,0,0,0.271,1
TXN-000084,65.75,9,0.162,1046,906,0,0,8,0,0,0.371,0
TXN-000085,59.89,13,0.151,747,1807,0,1,6,0,0,0.055,0
TXN-000086,50.48,17,0.701,1026,2602,2,0,6,0,0,0.376,0
TXN-000087,17.2,4,0.014,152,2585,2,4,12,1,0,0.2,0
TXN-000088,189.05,3,0.487,240,2517,0,2,6,0,0,0.155,0
TXN-000089,78.75,10,0.177,765,3581,1,2,13,0,1,0.38,0
TXN-000090,23.61,12,0.295,654,2289,0,0,11,0,0,0.129,0
TXN-000091,22.91,0,0.215,1473,3023,0,3,6,0,1,0.492,0
TXN-000092,165.23,14,0.472,593,2513,0,2,8,0,0,0.528,0
TXN-000093,76.85,4,0.064,200,404,2,2,5,0,0,0.322,0
TXN-000094,16.36,5,0.429,279,3710,0,3,7,0,0,0.174,0
TXN-000095,27.35,14,0.323,854,1178,0,3,5,0,0,0.077,0
TXN-000096,113.1,0,0.384,1150,519,0,1,15,0,0,0.02,0
TXN-000097,5.63,7,0.401,688,603,0,0,5,0,0,0.12,0
TXN-000098,17.0,7,0.34,912,3336,2,3,5,0,0,0.068,0
TXN-000099,83.16,2,0.306,38,2361,1,3,4,0,0,0.097,0
TXN-000100,11.9,23,0.29,254,3039,0,1,6,0,0,0.158,0
TXN-000101,201.7,23,0.239,1464,830,1,0,3,0,0,0.147,0
TXN-000102,13.25,3,0.182,103,1389,0,1,10,0,0,0.161,0
TXN-000103,10.12,18,0.278,335,1191,0,2,12,0,0,0.56,0
TXN-000104,10.7,4,0.187,757,2687,2,4,7,0,0,0.578,0
TXN-000105,42.16,13,0.166,9,3574,0,0,8,0,0,0.067,0
TXN-000106,26.81,11,0.076,422,457,2,1,7,0,1,0.422,0
TXN-000107,18.7,1,0.251,1062,2443,0,2,9,0,0,0.548,0
TXN-000108,45.17,11,0.394,1166,997,1,5,7,0,0,0.206,0
TXN-000109,18.09,17,0.079,682,2739,1,2,8,0,0,0.325,0
TXN-000110,52.12,20,0.1,282,1200,1,2,7,0,0,0.449,0
TXN-000111,77.41,16,0.078,378,1296,2,2,11,0,0,0.235,0
TXN-000112,57.91,14,0.086,765,673,2,3,8,0,0,0.578,0
TXN-000113,13.73,3,0.154,1417,3178,1,1,10,0,0,0.311,0
TXN-000114,99.72,5,0.059,1144,1635,0,2,8,0,0,0.312,0
TXN-000115,47.55,3,0.109,1208,3508,1,3,8,0,1,0.315,0
TXN-000116,93.04,4,0.251,476,2375,3,2,7,0,0,0.055,0
TXN-000117,107.31,8,0.18,1202,710,1,2,12,0,0,0.164,0
TXN-000118,27.43,4,0.103,177,356,0,3,5,0,0,0.474,0
TXN-000119,88.53,6,0.613,781,118,0,1,10,0,0,0.884,0
TXN-000120,19.91,16,0.45,203,1624,0,0,8,0,0,0.173,0
TXN-000121,72.74,22,0.334,1117,2766,0,2,9,1,0,0.431,0
TXN-000122,7.99,0,0.155,584,2107,0,2,7,1,1,0.274,0
TXN-000123,79.64,1,0.058,529,1234,1,0,7,0,0,0.47,0
TXN-000124,41.52,0,0.32,1369,509,0,0,7,0,1,0.177,0
TXN-000125,7.55,23,0.012,238,1646,0,2,7,0,0,0.172,0
TXN-000126,56.48,9,0.321,1175,2678,0,1,11,0,1,0.147,0
TXN-000127,23.75,9,0.093,263,2305,1,2,7,0,0,0.633,0
TXN-000128,336.21,22,0.475,73,1720,0,1,8,0,0,0.265,0
TXN-000129,49.28,15,0.056,1120,3304,1,1,4,0,0,0.413,0
TXN-000130,404.64,10,0.157,227,3036,0,1,7,1,0,0.104,0
TXN-000131,83.85,13,0.183,1280,1871,0,3,7,0,0,0.102,0
TXN-000132,17.06,12,0.367,1122,1998,0,3,7,0,0,0.527,0
TXN-000133,54.91,11,0.291,918,1841,0,0,11,0,0,0.37,1
TXN-000134,51.58,11,0.129,1322,2578,0,1,13,0,0,0.244,0
TXN-000135,95.98,19,0.419,41,2473,0,4,10,0,0,0.348,0
TXN-000136,8.49,7,0.274,996,1254,0,5,9,1,0,0.222,0
TXN-000137,31.44,23,0.143,1299,3185,1,3,6,0,0,0.374,0
TXN-000138,22.69,19,0.462,168,1574,1,2,8,0,0,0.038,0
TXN-000139,51.26,12,0.325,737,1885,2,2,8,0,0,0.365,0
TXN-000140,49.44,10,0.389,1379,1107,0,2,6,1,0,0.344,1
TXN-000141,56.14,6,0.472,853,2288,1,2,9,1,0,0.137,0
TXN-000142,79.4,21,0.373,608,2558,0,2,8,0,0,0.724,0
TXN-000143,33.99,7,0.17,339,3295,0,1,6,0,1,0.341,0
TXN-000144,88.25,19,0.253,635,1284,1,2,8,0,0,0.486,0
TXN-000145,27.57,0,0.332,811,1528,0,1,7,1,0,0.389,0
TXN-000146,26.86,17,0.248,836,2508,1,3,5,0,0,0.418,0
TXN-000147,57.03,6,0.188,455,3648,2,2,9,0,0,0.037,0
TXN-000148,49.22,11,0.112,891,134,1,1,5,0,1,0.298,0
TXN-000149,15.14,19,0.215,1068,234,1,6,10,0,1,0.26,1
TXN-000150,376.74,11,0.395,1337,3540,1,1,11,1,1,0.107,0
TXN-000151,15.31,14,0.456,519,1981,1,5,12,0,0,0.496,0
TXN-000152,8.83,4,0.178,477,3628,0,2,10,0,0,0.571,0
TXN-000153,125.68,19,0.245,105,2092,0,1,13,0,0,0.284,0
TXN-000154,68.59,16,0.557,1145,3213,1,4,6,0,1,0.079,0
TXN-000155,59.95,5,0.194,569,3563,0,1,11,0,1,0.431,0
TXN-000156,21.53,9,0.285,52,3530,0,5,5,0,0,0.144,0
TXN-000157,9.99,5,0.062,278,2451,2,2,13,0,0,0.332,0
TXN-000158,32.48,7,0.128,1245,1663,1,2,11,0,0,0.327,0
TXN-000159,38.64,20,0.419,1426,1083,0,2,9,0,1,0.39,0
TXN-000160,40.95,22,0.362,917,3426,0,2,7,0,0,0.27,0
TXN-000161,44.42,18,0.528,460,861,0,1,8,0,1,0.535,1
TXN-000162,139.88,5,0.221,368,2418,2,4,10,1,0,0.476,1
TXN-000163,13.49,6,0.244,355,1777,0,2,9,0,0,0.123,0
TXN-000164,6.0,9,0.373,328,566,1,2,4,0,0,0.385,0
TXN-000165,27.66,4,0.204,503,1866,3,3,3,0,0,0.632,0
TXN-000166,7.64,16,0.221,1465,3163,0,4,14,0,0,0.693,0
TXN-000167,2.62,12,0.604,986,738,0,0,6,0,0,0.137,0
TXN-000168,185.41,15,0.285,231,3936,0,0,10,0,0,0.258,1
TXN-000169,48.33,23,0.335,752,3055,1,3,9,0,0,0.242,0
TXN-000170,21.61,22,0.175,335,2055,1,2,5,0,0,0.385,0
TXN-000171,27.36,20,0.113,337,971,0,0,14,0,0,0.31,0
TXN-000172,231.24,8,0.054,926,2023,1,2,9,0,0,0.331,0
TXN-000173,125.21,5,0.241,6,1259,1,3,10,0,0,0.511,0
TXN-000174,99.27,7,0.382,845,148,0,1,8,1,1,0.283,0
TXN-000175,56.31,23,0.248,1097,2250,1,3,14,0,1,0.536,0
TXN-000176,13.97,5,0.644,1468,1684,1,3,11,1,1,0.048,0
TXN-000177,35.68,0,0.007,1403,3128,0,5,11,0,0,0.043,0
TXN-000178,15.71,22,0.07,109,2055,0,4,10,1,1,0.297,0
TXN-000179,307.83,9,0.426,926,875,0,0,3,0,0,0.061,0
TXN-000180,14.21,15,0.083,69,570,0,4,13,0,0,0.23,0
TXN-000181,10.95,7,0.409,1070,631,2,3,11,0,1,0.353,1
TXN-000182,7.9,20,0.28,1416,3112,1,1,13,0,0,0.525,0
TXN-000183,90.21,23,0.252,1316,3500,0,2,10,0,1,0.079,0
TXN-000184,7.63,18,0.271,1026,575,1,2,9,0,0,0.142,0
TXN-000185,74.36,7,0.251,1372,2491,1,2,6,0,0,0.11,0
TXN-000186,53.86,13,0.303,833,93,1,2,10,0,0,0.383,0
TXN-000187,32.92,14,0.206,107,537,0,3,7,0,0,0.273,0
TXN-000188,489.8,6,0.15,898,1636,1,2,6,1,0,0.196,0
TXN-000189,23.4,1,0.124,362,2864,1,2,10,0,0,0.524,0
TXN-000190,66.47,23,0.259,20,1539,0,2,6,0,0,0.142,0
TXN-000191,11.76,21,0.478,814,2785,0,1,12,1,0,0.302,0
TXN-000192,18.2,19,0.264,1216,2500,3,5,6,1,0,0.286,0
TXN-000193,85.98,7,0.635,426,551,0,3,5,0,0,0.639,0
TXN-000194,18.69,16,0.1,260,1635,1,3,11,0,0,0.48,0
TXN-000195,39.08,11,0.236,833,217,1,4,6,1,0,0.342,0
TXN-000196,80.51,12,0.368,326,1643,0,1,5,1,0,0.199,0
TXN-000197,43.88,22,0.089,79,1162,0,4,11,0,1,0.193,0
TXN-000198,26.7,20,0.439,344,374,0,1,5,0,0,0.605,0
TXN-000199,42.68,20,0.085,908,2075,1,2,8,0,0,0.554,0
TXN-000200,4.88,2,0.517,1451,2118,3,2,4,1,0,0.459,0
TXN-000201,30.58,7,0.052,1265,1453,0,1,10,1,0,0.596,0
TXN-000202,117.06,14,0.385,699,1987,0,4,6,0,0,0.569,1
TXN-000203,233.23,5,0.53,1084,312,0,1,9,0,1,0.358,1
TXN-000204,81.09,20,0.095,1102,553,0,3,8,0,1,0.299,0
TXN-000205,47.17,12,0.391,1471,380,0,2,11,0,0,0.173,0
TXN-000206,47.83,3,0.412,220,1906,0,1,8,0,0,0.391,0
TXN-000207,18.8,18,0.425,804,3777,0,0,7,0,0,0.325,0
TXN-000208,105.88,19,0.283,452,134,0,3,9,0,0,0.737,0
TXN-000209,99.77,5,0.173,321,1171,0,3,5,0,1,0.178,0
TXN-000210,23.62,15,0.032,694,1170,1,2,9,1,0,0.595,0
TXN-000211,8.59,15,0.181,983,1351,1,2,7,0,0,0.73,0
TXN-000212,62.51,12,0.413,956,2629,2,1,11,0,0,0.233,0
TXN-000213,142.58,20,0.202,1286,3513,0,1,9,0,0,0.595,0
TXN-000214,25.84,20,0.592,686,2294,2,1,12,0,0,0.329,0
TXN-000215,52.78,0,0.207,566,3928,0,1,17,0,0,0.225,0
TXN-000216,61.1,14,0.162,616,2108,1,0,7,0,0,0.381,0
TXN-000217,108.72,22,0.108,618,3194,0,3,6,0,0,0.486,0
TXN-000218,67.62,22,0.472,1445,1759,0,0,8,0,0,0.18,0
TXN-000219,15.99,22,0.099,1304,1468,1,3,11,0,1,0.518,0
TXN-000220,94.34,0,0.255,5,2020,1,1,4,0,0,0.048,0
TXN-000221,30.01,13,0.133,1371,1659,0,3,4,1,0,0.409,0
TXN-000222,41.64,15,0.523,493,3985,1,4,5,0,0,0.224,0
TXN-000223,98.4,17,0.738,940,2734,0,3,8,1,0,0.181,0
TXN-000224,6.43,0,0.07,550,1768,1,3,6,0,1,0.244,0
TXN-000225,95.93,6,0.047,50,2314,4,1,7,0,0,0.145,0
TXN-000226,13.78,13,0.138,53,2227,0,3,8,0,0,0.431,0
TXN-000227,22.64,21,0.181,27,3073,2,4,8,0,0,0.231,0
TXN-000228,135.51,7,0.137,490,3009,0,3,4,1,0,0.292,0
TXN-000229,134.52,13,0.355,1307,3065,0,2,4,0,0,0.261,0
TXN-000230,17.81,6,0.134,230,3902,0,3,9,0,0,0.408,0
TXN-000231,14.45,15,0.72,571,3469,2,1,7,0,0,0.25,0
TXN-000232,8.8,7,0.392,1068,2554,0,1,5,0,0,0.181,0
TXN-000233,17.2,18,0.283,1314,3554,0,6,8,0,0,0.671,1
TXN-000234,200.9,0,0.091,741,1525,0,0,9,1,0,0.464,0
TXN-000235,48.69,18,0.585,1433,2914,0,2,8,0,0,0.323,0
TXN-000236,14.97,10,0.234,804,1930,0,2,10,0,0,0.167,1
TXN-000237,35.45,14,0.261,407,431,0,1,11,0,0,0.2,0
TXN-000238,10.64,17,0.58,500,1199,1,3,8,0,1,0.475,0
TXN-000239,36.99,13,0.112,578,825,0,5,11,1,0,0.545,0
TXN-000240,81.33,10,0.073,829,7,0,5,9,0,0,0.32,0
TXN-000241,9.88,10,0.238,1480,3409,2,5,5,0,0,0.329,0
TXN-000242,96.63,20,0.249,1252,963,0,2,11,0,0,0.279,0
TXN-000243,197.51,10,0.353,507,1374,0,1,6,0,0,0.233,0
TXN-000244,102.48,5,0.329,963,365,2,5,8,0,0,0.317,0
TXN-000245,23.32,19,0.273,1300,815,1,4,9,1,0,0.444,0
TXN-000246,103.76,5,0.556,1358,2573,0,2,9,0,1,0.225,0
TXN-000247,15.25,6,0.777,1310,3848,0,2,6,0,0,0.559,0
TXN-000248,14.09,4,0.135,528,1707,0,0,8,0,0,0.142,0
TXN-000249,352.63,9,0.086,119,226,0,1,6,0,0,0.557,1
TXN-000250,11.39,15,0.205,526,593,1,2,6,0,0,0.478,0
TXN-000251,18.12,22,0.235,597,490,1,2,7,1,0,0.153,1
TXN-000252,31.39,2,0.386,323,2888,0,7,5,0,0,0.62,0
TXN-000253,44.29,19,0.271,864,2761,0,2,8,0,1,0.538,0
TXN-000254,151.67,18,0.791,592,616,1,5,4,0,0,0.156,1
TXN-000255,89.49,6,0.187,1063,465,0,2,8,0,0,0.358,0
TXN-000256,157.55,17,0.09,1055,2573,1,0,1,1,0,0.43,1
TXN-000257,87.53,18,0.502,1487,909,3,3,11,0,1,0.477,0
TXN-000258,54.28,14,0.048,70,3484,3,3,5,0,0,0.425,0
TXN-000259,10.06,15,0.285,620,736,1,1,11,0,0,0.559,0
TXN-000260,46.88,23,0.24,30,341,2,3,4,0,0,0.37,0
TXN-000261,19.5,2,0.047,797,3652,2,3,4,0,0,0.31,0
TXN-000262,19.69,11,0.359,250,1503,1,4,5,0,1,0.128,0
TXN-000263,30.41,1,0.316,1332,575,0,2,6,0,0,0.101,0
TXN-000264,327.19,11,0.203,1358,2555,0,2,6,0,0,0.516,0
TXN-000265,110.39,0,0.5,134,2315,1,1,5,0,0,0.072,0
TXN-000266,113.51,11,0.148,1014,2566,1,0,10,0,0,0.535,0
TXN-000267,13.72,8,0.165,640,3988,0,3,6,0,0,0.337,0
TXN-000268,40.43,0,0.202,589,2104,0,1,7,0,0,0.616,0
TXN-000269,32.46,18,0.49,193,2175,1,1,5,0,0,0.187,0
TXN-000270,54.21,12,0.262,902,2821,1,4,7,0,0,0.223,1
TXN-000271,93.16,23,0.513,1383,487,0,7,9,0,0,0.093,0
TXN-000272,35.15,16,0.114,1114,1189,0,1,10,0,1,0.218,0
TXN-000273,45.57,0,0.315,527,1864,0,2,8,0,0,0.61,0
TXN-000274,78.71,5,0.489,461,3757,0,1,9,1,1,0.528,0
TXN-000275,60.8,7,0.275,218,1877,1,0,8,1,0,0.147,0
TXN-000276,90.73,13,0.374,350,1803,2,2,5,0,1,0.122,0
TXN-000277,2.62,3,0.233,467,151,2,2,5,0,0,0.18,0
TXN-000278,15.1,5,0.147,81,958,0,4,7,0,0,0.393,0
TXN-000279,34.63,1,0.215,835,2499,0,1,7,0,0,0.308,0
TXN-000280,14.68,16,0.435,1026,3115,1,4,7,0,0,0.251,0
TXN-000281,13.63,23,0.174,1161,3809,1,3,5,0,0,0.286,0
TXN-000282,3.1,13,0.441,880,3762,0,3,8,0,1,0.391,0
TXN-000283,78.34,10,0.306,884,1027,1,1,11,0,1,0.075,0
TXN-000284,28.99,16,0.61,456,1977,0,5,13,0,0,0.149,0
TXN-000285,15.98,7,0.358,701,3752,2,3,10,0,0,0.153,0
TXN-000286,224.97,12,0.099,1468,922,2,2,9,0,0,0.235,0
TXN-000287,25.31,0,0.269,1363,1507,0,2,8,0,0,0.467,0
TXN-000288,95.59,8,0.326,1442,2088,0,1,10,0,0,0.259,0
TXN-000289,50.91,21,0.412,348,2675,1,3,5,0,0,0.591,0
TXN-000290,75.09,11,0.385,1243,3690,1,2,7,0,0,0.397,0
TXN-000291,5.19,14,0.502,542,1000,0,2,10,0,0,0.404,0
TXN-000292,34.24,11,0.384,264,624,0,2,11,0,0,0.517,0
TXN-000293,25.9,18,0.148,720,3933,2,4,7,0,0,0.223,0
TXN-000294,80.31,16,0.227,775,1352,0,2,7,0,1,0.628,0
TXN-000295,655.25,20,0.591,1236,1014,1,1,2,0,0,0.108,1
TXN-000296,185.63,10,0.227,429,2183,1,2,11,0,0,0.371,0
TXN-000297,146.97,21,0.109,254,3097,3,0,9,0,0,0.176,0
TXN-000298,9.22,16,0.704,406,249,0,0,10,0,0,0.069,0
TXN-000299,50.11,10,0.289,767,565,1,3,7,0,0,0.068,0
TXN-000300,31.8,1,0.563,141,246,0,2,10,1,1,0.496,1
TXN-000301,9.77,20,0.209,968,3982,0,8,11,0,0,0.183,0
TXN-000302,55.79,15,0.151,146,1317,0,2,9,0,0,0.393,0
TXN-000303,110.76,18,0.261,1035,2143,0,6,7,0,1,0.396,0
TXN-000304,56.25,22,0.688,1094,816,0,1,5,0,0,0.105,1
TXN-000305,101.55,9,0.288,1210,1685,0,1,4,1,0,0.487,0
TXN-000306,155.89,15,0.289,864,2299,0,2,7,0,0,0.15,0
TXN-000307,27.72,23,0.367,559,1568,1,3,10,1,0,0.122,0
TXN-000308,285.84,2,0.402,434,1992,3,2,15,0,0,0.522,0
TXN-000309,17.14,15,0.35,768,1282,3,2,4,0,0,0.701,0
TXN-000310,32.39,1,0.086,693,3143,0,1,6,0,0,0.182,0
TXN-000311,38.43,23,0.212,1438,943,0,2,11,0,1,0.417,0
TXN-000312,26.07,11,0.539,1062,1491,1,1,10,0,0,0.445,0
TXN-000313,9.02,17,0.391,1395,1414,0,3,7,0,0,0.083,0
TXN-000314,116.55,20,0.104,1136,1106,2,1,5,1,0,0.374,0
TXN-000315,258.52,14,0.362,110,1356,1,1,7,0,0,0.561,0
TXN-000316,66.84,23,0.491,680,1199,1,1,3,1,1,0.449,0
TXN-000317,45.36,6,0.303,1123,3834,0,0,8,0,1,0.366,1
TXN-000318,27.98,19,0.129,1,770,0,2,11,0,0,0.34,0
TXN-000319,64.03,3,0.468,834,1787,0,1,8,0,1,0.763,1
TXN-000320,72.64,15,0.469,263,1084,2,5,12,0,1,0.584,0
TXN-000321,33.72,14,0.157,170,2868,1,1,8,0,0,0.387,0
TXN-000322,22.13,16,0.277,1403,1810,0,2,17,0,0,0.548,0
TXN-000323,3.15,6,0.19,395,3062,1,4,6,0,0,0.482,0
TXN-000324,39.18,5,0.421,1229,1887,0,4,12,1,0,0.086,0
TXN-000325,165.21,6,0.166,764,2290,3,2,11,1,0,0.217,0
TXN-000326,42.99,3,0.363,454,2583,1,1,8,1,0,0.565,0
TXN-000327,8.65,9,0.12,65,330,0,1,9,0,0,0.137,0
TXN-000328,17.79,18,0.213,686,2170,2,2,7,1,0,0.525,0
TXN-000329,8.17,22,0.341,1485,34,1,0,6,0,0,0.319,0
TXN-000330,5.11,16,0.13,1188,2372,2,2,13,1,1,0.072,0
TXN-000331,183.05,9,0.624,173,2531,1,1,4,0,1,0.695,1
TXN-000332,48.17,15,0.165,1022,161,0,1,5,0,0,0.626,1
TXN-000333,64.29,4,0.285,756,1582,1,5,7,0,0,0.435,0
TXN-000334,4.45,14,0.339,225,1152,1,1,6,0,0,0.438,0
TXN-000335,69.7,11,0.158,767,2974,1,1,4,0,0,0.477,0
TXN-000336,81.31,11,0.187,188,1503,1,2,7,1,0,0.677,1
TXN-000337,141.59,20,0.378,27,3658,1,1,10,0,0,0.3,1
TXN-000338,14.18,8,0.109,875,3387,0,3,7,0,1,0.373,0
TXN-000339,11.23,15,0.316,253,1353,0,2,5,0,0,0.074,0
TXN-000340,145.0,1,0.357,668,2572,0,2,4,0,1,0.374,0
TXN-000341,77.1,16,0.239,277,3031,2,2,3,0,0,0.358,0
TXN-000342,30.03,9,0.105,602,207,0,5,7,0,0,0.31,0
TXN-000343,86.12,4,0.406,1148,3700,2,3,3,0,0,0.411,0
TXN-000344,234.66,1,0.333,389,487,0,3,8,0,0,0.051,0
TXN-000345,54.98,23,0.533,1363,1282,1,1,8,0,1,0.556,1
TXN-000346,68.71,22,0.123,1483,3408,2,6,9,0,1,0.584,0
TXN-000347,103.56,2,0.254,1298,835,0,2,9,0,0,0.388,0
TXN-000348,85.3,3,0.356,44,2719,0,1,8,0,0,0.242,0
TXN-000349,35.12,23,0.194,664,600,4,1,7,0,0,0.198,0
TXN-000350,44.06,17,0.25,113,91,1,0,9,0,0,0.179,0
TXN-000351,6.15,21,0.19,1025,165,1,3,2,0,0,0.377,0
TXN-000352,10.87,8,0.14,912,290,0,1,6,0,1,0.147,0
TXN-000353,545.25,6,0.383,344,1612,0,6,13,0,0,0.31,0
TXN-000354,21.92,23,0.209,491,88,1,0,10,1,0,0.62,0
TXN-000355,7.28,7,0.418,933,1863,1,1,8,0,0,0.397,0
TXN-000356,156.03,13,0.194,192,1081,1,4,8,0,0,0.283,0
TXN-000357,244.44,15,0.479,811,3552,3,2,5,0,0,0.312,1
TXN-000358,10.88,5,0.538,648,870,0,1,3,1,0,0.366,1
TXN-000359,41.83,16,0.3,929,2242,0,3,7,1,0,0.293,0
TXN-000360,32.45,19,0.099,170,800,0,1,6,1,0,0.048,0
TXN-000361,29.71,10,0.145,842,2689,0,0,14,1,0,0.281,0
TXN-000362,17.43,13,0.187,1058,2944,1,1,6,0,0,0.482,0
TXN-000363,17.62,9,0.426,505,1530,0,2,9,0,0,0.356,0
